Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,English_Word_Count,positive_score,negative_score,neutral_score,label,positive_words,negative_words,processing_status
Qismat Ki Maari,00:03:11.600,جو کونسل کے فیصلے کے خلاف بغاوت کرتا ہے۔,9,who rebels against the decision of the council.,8,,,8,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:03:16.140,میں چچا خدا بخش کا داماد ہوں,7,i'am son of law of uncle khuda bux,8,,,8,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:03:18.460,میری اس لڑکی سے شادی ہو رہی ہے,8,I was getting married to that girl,7,,,7,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:03:28.340,یہ تو اچھی خبر ہے۔  اب تو بدلہ لینا آسان ہو گیا ہے,13,This is good news; now it has become easier to seek revenge,12,,,12,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:03:37.340,پیارے، اب اس لڑکی کا یہاں آنا بہت ضروری ہو گیا ہے,12,"Dear, now it has become very important for that girl to come here",13,,,13,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:03:48.380,دیکھو، میں اپنی آدھی زمین تمہارے نام کرنے کو تیار ہوں۔,11,"Look, I'm ready to transfer half of my land into your name.",12,,,12,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:03:52.900,لیکن یہ ناانصافی مت کرو,5,but don't do this injustic,5,,,5,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:03:55.700,یہ اور بھی بہتر ہے۔  آخر اس لڑکی کے بارے میں کوئی خاص بات ہونی چاہیے۔  وہ,17,"This is even better. After all, there must be something special about that girl.",14,,,14,0.8,0,0.2,positive,"['better', 'special']",[],success
Qismat Ki Maari,00:04:04.080,جس کے لیے میں یہاں اپنے وطن آیا ہوں,9,The one for whom I have come all the way here to my homeland,14,,,14,0.0,0.0,1.0,neutral,[],[],failed
Qismat Ki Maari,00:04:10.920,اور اس نے مجھے اپنی جائیداد کا حق بھی دیا ہے؟,11,and he also giving me his property right?,8,,,8,0.0,0.0,1.0,neutral,[],[],failed
