Drama Name,Timestamp,Urdu Subtitle,Urdu Length,English Subtitle,English Length,Episode,Genre,Episode No#,URL,Sentence No,Timestamps,Urdu Sentence,English Sentence
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,27.0,00:02:56.100,ہمیں بغیر لڑے یا کوشش کیے کوئی حق نہیں ملتا,we don't get any right without fighting or making efforts
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,28.0,00:03:41.150,شگفتہ، براہ کرم ناشتہ لے آؤ,"Shagufta, please bring the breakfast"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,29.0,00:03:43.710,ابھی آدھا گھنٹہ باقی ہے میں کلاس میں,only half an hour is left in the class
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,30.0,00:03:45.570,آرہی ہوں۔,I'm coming.
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,31.0,00:03:59.140,مجھے دیر ہو رہی ہے,I am getting late
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,32.0,00:04:01.840,ہیلو!  زاہدہ تم ابھی تک کیوں نہیں آئی؟,"hello! Zahida, why you haven't come as of yet?"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,33.0,00:04:06.080,پیٹ کے درد کے خلاف!  یہاں تک کہ پچھلے ہفتے آپ نے یہ,against stomachache! Even last week you had it
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,34.0,00:04:10.450,ٹھیک کیا تھا، بہتر ہے دیر سے لیکن ضرور آئیں۔  ٹھیک ہے؟,"ok fine, better late but do come. Ok?"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,35.0,00:04:15.450,صبح اتنا غصہ آنا اچھی بات نہیں ہے,its not a good thing to be so angry in the morning
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,36.0,00:04:18.170,اس تجویز کا شکریہ,thanks for the suggestion
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,37.0,00:04:22.440,آپ کا استقبال ہے,you are welcome
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,38.0,00:04:25.300,رمزا,Ramza
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,39.0,00:04:27.360,رمزا، وہ جاگ,"Ramza, they are wake up"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,40.0,00:04:30.120,امی آپ کو اتنی دیر سے بلا رہی ہیں۔  آپ کو اب تک جاگ جانا چاہیے۔  چلو اٹھو!,mom has been calling you since so long. You should be awake by now. Come on get up!
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,41.0,00:04:33.110,معذرت، میں نہیں اٹھ رہا ہوں۔  تم نے اپنی تھیوریز کے لیے رات گئے تک لائٹ کھلی رکھی تھی اس لیے اب مجھے نیند آرہی ہے,"Sorry, I am not getting up. You had kept the light open till late night for your theories, so now I am sleeping"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,42.0,00:04:39.560,اس لیے میں تم سے کہتی ہوں کہ میرے ساتھ ماسٹرز میں داخلہ لے لو، دونوں بہنیں ساتھ پڑھیں گی۔  ٹھیک ہے؟,"that's why I tell you to take admission in masters with me, both sisters will study together. Ok?"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,43.0,00:04:45.460,آپ اور پاپا میری پڑھائی کے بعد کیوں ہیں؟,why you & dad are after my studies?
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,44.0,00:04:48.700,کیونکہ میری پیاری بہن، اب یہ سب سے اہم بات ہے کہ,"because my darling sister, that's the most important thing"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,45.0,00:04:52.070,ہفتے کے روز داخلے کے لیے میرے ساتھ آئیں، اس پر مزید کوئی بحث نہیں یہ کیا ہے,"now come with me for the admission on Saturday, no more arguments on this"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,46.0,00:04:56.370,!,what's this!
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,47.0,00:04:58.650,اٹھو رمزا ماں تمہیں اتنی دیر سے بلا رہی ہے۔  میں جا رہا ہوں، جلدی,"get up Ramza, mom is calling you since so long. I am going, be quick"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,48.0,00:05:03.050,اٹھو ورنہ آپ کا نیٹ فلکس اکاؤنٹ بند کر دوں گا۔  اٹھو!,get up otherwise will close your Netflix account. Get up!
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,49.0,00:05:11.250,سلام والد صاحب!,greetings dad!
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,50.0,00:05:13.160,سلام!,greetings!
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,51.0,00:05:14.770,ایک بار پھر آپ تلا ہوا انڈا کھا رہے ہیں!  اوہ...,again you are eating fried egg! oh...
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,52.0,00:05:18.790,اس کی دنیا کی سب سے اچھی چیز,its world's best thing
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,53.0,00:05:20.560,ماں، آپ نے ایک بار پھر والد کو تلا ہوا انڈا دیا ہے۔  آپ ابلا ہوا انڈا دے سکتے تھے,"mom, again you've given fried egg to dad. You could have given boiled egg"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,54.0,00:05:25.290,آپ جانتے ہیں کہ آپ کے والد کیسے ہیں۔  آج میں دیر سے اٹھا، زاہدہ بھی نہیں آئی,"you know how your dad is. I woke up late today, also Zahida didn't come"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,55.0,00:05:30.890,ٹھیک ہے چھوڑو یہ,"Okay, leave this"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,56.0,00:05:33.750,نہیں...,No...
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,57.0,00:05:36.380,میں سب کر لوں گی۔  جاؤ ناشتہ کر لو ورنہ بی پی لو ہو جائے گا۔  رمزا بھی آنے والا ہے,"I will do everything. Go, do breakfast otherwise your BP will get low. Ramza is also coming"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,58.0,00:05:49.980,یا اللہ!  کیا کوئی کہہ سکتا ہے کہ یہ لڑکی کا کمرہ ہے؟,oh God! can anyone say that its a girl's room?
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,59.0,00:05:55.010,ایک چیز بھی اپنی جگہ پر نہیں رکھی، نہ تم نے بستر کو,"not a single thing is kept on its place, nor you have made the bed"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,60.0,00:05:58.130,ماں بنایا ہے، جو صبح سویرے کمرے کو دیکھتی ہے۔  اس کے علاوہ یہ روز صاف ہو جاتی ہے,"mom, who looks at the room early morning. Besides, it gets cleaned everyday"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,61.0,00:06:02.490,صاف نہیں ہو گی کیونکہ زاہدہ بھی آج نہیں آ رہی,"it won't be cleaned, because Zahida is also not coming today"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,62.0,00:06:05.610,اوہ!  ہمارے گھر کا موڈ زاہدہ کے آنے پر منحصر ہے,oh! our house mood is dependent upon Zahida's arrival
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,63.0,00:06:11.850,امی، کل کے لیے میری قمیض استری کرادیں اگر زاہدہ آجائے,"mom, please get my shirt ironed for tomorrow if Zahida comes"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,64.0,00:06:17.170,اور اگر وہ نہ آئیں تو میں خود کروں گی، ٹھیک ہے؟,"and if she didn't come then I will do it myself, Ok?"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,65.0,00:06:20.740,کوئی مسئلہ نہیں عزیز، یہ ہو جائے گا فکر مت کرو.  وہ وہاں ہے، وہ کرے گی,"no problem dear, it will be done don't worry. She is there, she will do it"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,66.0,00:06:24.870,ہاں!  میں یہ خوشی سے کروں گا لیکن پہلے Netflix اکاؤنٹ بند کرنے کی اپنی بات واپس لیں,yes! I will do it happily but first take your word back of closing the Netflix account
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,67.0,00:06:31.750,پہلے مجھ سے وعدہ کریں کہ آپ داخلے کے لیے ہفتہ کو میرے ساتھ یونیورسٹی جائیں گے,first promise me that you'll go to the university with me on Saturday for the admission
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,68.0,00:06:36.260,ٹھیک ہے!  معاہدہ کیا!  کیا,Okay! done deal!
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,69.0,00:06:44.480,تم نے دیکھا، وہ کتنی محنت کرتی ہے۔  اس سے کچھ سیکھو,"did you see, how much hard work she does. Learn something from her"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,70.0,00:06:51.700,میں 6 دن بعد گھر واپس آیا ہوں نا؟,"I came back home after 6 days, right?"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,71.0,00:06:53.680,یہ ڈنر سیٹ چھ دن سے پڑا ہے، پیک کیوں نہیں ہوا؟  کیا,"this dinner set has been lying here since six days, why it didn't get packed?"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,72.0,00:06:57.860,کوئی مجھے جواب دے گا؟,will someone answer me?
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,73.0,00:07:00.190,یہ اتنا مہنگا ڈنر سیٹ ہے، اسے اس طرح نہیں رکھنا چاہیے۔  اسے,"its such an expensive dinner set, it shouldn't be kept like this. Pack it"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,74.0,00:07:06.160,اور اس رنر کو پیک کرو۔  اس رنر کو کیوں تبدیل نہیں کیا گیا؟  کیا یہ آپ کا فرض تھا,and this runner. Why this runner has not been changed? It was your duty
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,75.0,00:07:10.610,؟  آپ نے اسے تبدیل کیوں نہیں کیا؟,yes? why you haven't changed it?
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,76.0,00:07:13.100,میڈم لیکن یہ صاف ہے,"ma'am, but its clean"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,77.0,00:07:16.210,آپ کے لیے صاف ہے لیکن میرے لیے نہیں، اسے بدلو,"its clean for you but not for me, change it"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,78.0,00:07:20.290,اور یہ پھول,and these flowers
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,79.0,00:07:23.020,یہ پھول یہاں کیوں پڑے ہیں؟  گلدان کہاں ہے؟,why these flowers are lying here? Where is the vase?
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,80.0,00:07:27.700,کوئی نہیں بولے گا.  جا کر گلدان لے آؤ اور اس میں پھول رکھو,"nobody will speak. Go bring the vase, & keep the flowers in it"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,81.0,00:07:31.970,سب نے کام چھوڑ دیا ہے جب میں 6 دن سے گھر سے باہر گیا ہوں۔  سب پارٹی کر رہے ہیں,everyone has left the work since I went out of the house for 6 days. Everyone is partying
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,82.0,00:07:39.790,بھائی بشیر,brother Bashir
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,83.0,00:07:42.720,کوئی کام نہیں کرے گا اگر میں گھر میں نہیں ہوں گی,nobody will work if I won't be there in the house
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,84.0,00:07:44.650,ہاں میڈم نتاشا؟,yes ma'am Natasha?
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,85.0,00:07:46.420,میں نے شیری کے کپڑے ڈرائی کلیننگ کے لیے بھیجے ہیں، کیا وہ واپس آگئے ہیں؟,"I have sent Sherry's clothes for dry cleaning, are they back?"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,86.0,00:07:50.110,میں,I had forgotten
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,87.0,00:07:52.270,بشیر بھائی کو بھول گیا تھا، میں نے اسلام آباد جانے سے پہلے آپ کو بہت لمبی فہرست دی تھی,"brother Bashir, I had given you a very long list before going to Islamabad"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,88.0,00:07:56.960,اس سے کچھ نہیں ہوا۔  کیا آپ نے ڈرائنگ روم کی حالت دیکھی ہے؟,nothing has been done from it. Have you seen drawing room's condition?
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,89.0,00:08:01.210,اور والد صاحب کے سن کے بیج؟  اس کی دوائیں؟  کیا تم نے اسے دیا؟,and dad's flax seeds? his medicines? Did you gave him?
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,90.0,00:08:05.630,ہاں,yes
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,91.0,00:08:06.240,اب جاؤ اور ناشتہ کرو,now go & serve breakfast
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,92.0,00:08:08.490,ہاں ٹھیک ہے,yes Okay
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,93.0,00:08:10.740,صبح بخیر، والد صاحب!,"good morning, dad!"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,94.0,00:08:13.760,آپ کی آواز سنتے ہی مجھے صبح کا وقت محسوس ہوتا ہے,I feel its morning time as soon as I hear your voice
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,95.0,00:08:16.840,اور آپ ایسا کیوں سوچتے ہیں؟,and why do you think this way?
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,96.0,00:08:18.970,کیوں  کیا کام ہو گیا ہے؟,why? Is the work done?
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,97.0,00:08:21.940,بابا آپ نے گھر کا حال دیکھا ہے؟,"dad, have you seen the state of the house?"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,98.0,00:08:24.580,میرے جانے کے بعد سے کچھ نہیں کیا گیا ہے۔  کسی نے کوئی کام نہیں کیا، یہاں کوئی کام کرنا پسند نہیں کرتا,"nothing has been done since I had left. Nobody has done any work, nobody likes to do work here"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,99.0,00:08:30.760,بہت اچھا!,Great!
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,100.0,00:08:31.570,آپ کو جا کر کھانے کی میز دیکھنا ہے,you need to go & see the dining table
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,101.0,00:08:33.310,مجھے بھائی شیری کی نیلی قمیض یہاں نہیں مل رہی,I can't find brother Sherry's blue shirt
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,102.0,00:08:34.970,تم جاؤ!  اس کی الماری کے پاس جاؤ، یہ دائیں طرف رکھی ہوئی ہے۔  جلدی جاؤ، نیچے آنے سے پہلے,"here you go! Go to his cupboard, its kept on the right side. Quickly go, before he comes downstairs"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,103.0,00:08:40.710,وہ اپنا کام کیوں نہیں کر سکتا؟,why can't he do his own work?
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,104.0,00:08:43.520,جب میں یہاں ہوں تو اسے,"when I am here, then he doesn't need to"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,105.0,00:08:45.440,کیا ضرورت نہیں؟,what?
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,106.0,00:08:46.100,ہاں!  لیکن آپ کو واقعی اس گھر پر کام کرنے کی ضرورت ہے کیونکہ یہاں کوئی کام نہیں کرنا چاہتا،,yes! but you need to really work on this house because nobody wants to work here
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,107.0,00:08:51.310,آؤ ناشتہ کرتے ہیں,"come, lets have breakfast"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,108.0,00:08:52.680,نہیں، مجھے ایک بات سمجھ نہیں آئی۔  وہ ڈنر سیٹ، اس نے ابھی,"No, I don't understand one thing. That dinner set, she hasn't packed it as of yet"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,109.0,00:08:57.920,چھ دن سے پیک نہیں کیا ہے!  میں ویسے بھی 6 دن بعد واپس آیا ہوں,six days! I came back after 6 days
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,110.0,00:09:01.200,، براہ کرم کچھ نوٹس لیں۔,"anyways, please do take some notice. Do look after"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,111.0,00:09:07.330,فروٹ سلاد کی دیکھ بھال کرتے ہیں؟,fruit salad?
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,112.0,00:09:10.350,صبح بخیر کرنے دو!*,good morning!*
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,113.0,00:09:13.450,آؤ، ناشتہ کرو،,"come, have breakfast"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,114.0,00:09:15.810,ناشتہ بھی کرو، پتہ نہیں پرہیز کے لیے کیا کرنا ہے۔  براہ کرم مناسب ناشتہ کریں,"you also do the breakfast, don't know what to do you do for dieting. Please have proper breakfast"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,115.0,00:09:22.850,شکریہ!,thank you!
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,116.0,00:09:24.970,شکریہ!,thank you!
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,117.0,00:09:27.650,اوہ واہ!  شکریہ!,oh wow! thank you!
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,118.0,00:09:30.710,کیا آپ کچھ چاہتے ہیں؟,do you want some?
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,119.0,00:09:33.970,آپ ٹھیک ہیں؟  تم ابھی کچھ تناؤ میں لگ رہے ہو,are you ok? you seem a bit stressed
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,120.0,00:09:39.120,آرام کرو۔  اگر میں نوکروں کی فوج رکھوں تب بھی مجھے سب کچھ خود کرنا ہے,do rest? even if I keep an army of servants still I have to do everything myself
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,121.0,00:09:43.830,پیارے، آپ کو مدد کرنے والے,"dear, you need a helping hand"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,122.0,00:09:46.690,والد کی ضرورت ہے، آپ جانتے ہیں نتاشا سب کچھ خود کرنا پسند کرتی ہے۔  لہذا، وہاں اس کا کوئی حل نہیں ہے,"dad, you know Natasha likes to do everything by herself. Therefore, there is no solution of it"
Jaisey Apki Merzi,,,,,,,,,https://www.youtube.com/watch?v=d9dyTrfnXDA,123.0,00:09:52.710,!  بہت آسان حل ہے,there is! its a very easy solution
